accession,filename,url,assembly,file_format,file_format_type,output_type,output_category,dataset
ENCFF625OLD,ENCFF625OLD.tsv,https://www.encodeproject.org/files/ENCFF625OLD/@@download/ENCFF625OLD.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR146ZSP/
ENCFF263XKP,ENCFF263XKP.tsv,https://www.encodeproject.org/files/ENCFF263XKP/@@download/ENCFF263XKP.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR636LEU/
ENCFF948IEB,ENCFF948IEB.tsv,https://www.encodeproject.org/files/ENCFF948IEB/@@download/ENCFF948IEB.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR420ZKB/
ENCFF320RSO,ENCFF320RSO.tsv,https://www.encodeproject.org/files/ENCFF320RSO/@@download/ENCFF320RSO.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR841QAC/
ENCFF056JMG,ENCFF056JMG.tsv,https://www.encodeproject.org/files/ENCFF056JMG/@@download/ENCFF056JMG.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR841QAC/
ENCFF652AFK,ENCFF652AFK.tsv,https://www.encodeproject.org/files/ENCFF652AFK/@@download/ENCFF652AFK.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR841QAC/
ENCFF875IBK,ENCFF875IBK.tsv,https://www.encodeproject.org/files/ENCFF875IBK/@@download/ENCFF875IBK.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR056TWA/
ENCFF213TJR,ENCFF213TJR.tsv,https://www.encodeproject.org/files/ENCFF213TJR/@@download/ENCFF213TJR.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR771NRY/
ENCFF031NRM,ENCFF031NRM.tsv,https://www.encodeproject.org/files/ENCFF031NRM/@@download/ENCFF031NRM.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR758MWM/
ENCFF677PPG,ENCFF677PPG.tsv,https://www.encodeproject.org/files/ENCFF677PPG/@@download/ENCFF677PPG.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR723OPL/
ENCFF570GYI,ENCFF570GYI.tsv,https://www.encodeproject.org/files/ENCFF570GYI/@@download/ENCFF570GYI.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR738IHB/
ENCFF362KMY,ENCFF362KMY.tsv,https://www.encodeproject.org/files/ENCFF362KMY/@@download/ENCFF362KMY.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR056TWA/
ENCFF339DDF,ENCFF339DDF.tsv,https://www.encodeproject.org/files/ENCFF339DDF/@@download/ENCFF339DDF.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR056TWA/
ENCFF151WUJ,ENCFF151WUJ.tsv,https://www.encodeproject.org/files/ENCFF151WUJ/@@download/ENCFF151WUJ.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR851GNB/
